S,R,O
refrigerator freezer,used for,keep food long
play harp,used for,angel
barber comb,used for,cut hair
mayor,used for,govern your town
buy shirt,has prequisite,taste and money
kiss,has prequisite,pucker up
play guitar,has prequisite,take guitar lesson
fly in airplane,has prequisite,take fly lesson
see band,has prequisite,attend concert
pebble,capable of,break window
join army,used for,defend your country
fish,has subevent,you catch big one
socialise,causes,you become popular
entertain someone,used for,get to know them good
go to baseball game,has subevent,you catch baseball
send criminal to prison,has prequisite,trial
sit on chair,has subevent,cross your leg
bake oven,used for,cookie
many different dilects,at location,unite state
commit perjury,has subevent,lie while under oath
wed chapel,used for,get marry in
learn,has prequisite,read book
open gift,has prequisite,rip off wrap paper
shake someone hand,has subevent,should have firm grip
very few person,has property,content
read,is a,one way of learn
go to party,has subevent,drink
become inebriate,has prequisite,inebriant
someone,at location,ferris wheel
something,at location,rock
something,at location,cliff
butter,receives action,use in many bake recipe
know how stock market perform,has prequisite,watch news
net,at location,fisherman boat
fungus,at location,rotten log
person,desires,experience
help someone,motivated by goal,express altruism
kill,has prequisite,hatred
school,is a,good place to learn
ball,used for,roll
nail,at location,your finger
join army,motivated by goal,protect your country
take bath,has subevent,be naked
person,not desires,other person to get hurt
person,not desires,wake up early
snore,motivated by goal,air
wash your hand,has prequisite,water and soap
coach,is a,person who coach other person
coffee,is a,good after dinner drink
sarah,is a,female name
can,is a,abbreviation for california
c,is a,procedural program lanuage
auckland,is a,city in new zealand
nostalgia,is a,human emotion
hal,is a,intelligent computer
comfort,is a,good feel
virtue,is a,good thing to have
privacy,is a,major issue in medicine
monogamy,is a,unnatural social aspect
australian walk-about,is a,great form of exercise
practice against other person,is a,good way to learn chess
homelessness,is a,social and economic problem
consumerism,is a,global evil
fruit,is a,important food group
playact,is a,cultural activity
flavor coffee,is a,recent popular luxury
table tennis,is a,athletic hobby
hope,is a,feel
lead,is a,very dense material
canoe,is a,great exercise for arm
backgammon,is a,board game for two player
win,is a,spectacular feel
contentment,is a,good feel
missouri be state and independence,defined as,name of city
fruit,is a,another name for homosexual
liar,is a,person who lie
alcohol,is a,ferment beverage
alcohol,is a,sedative and pain-killer
monogamy,is a,relationship between two person or animal
film,is a,artistic expression
tornado,is a,powerful force of nature
ball,is a,round object
feel,is a,very soft kind of fabric
bug in computer software,is a,error
write,is a,important communication skill
jack,is a,boy name
camera,is a,tool for take picture
showroom,is a,large room
kitten,is a,fragile animal
sandwich,is a,meal commonly
democracy,is a,good thing
yellow rubber duck,is a,common bath toy
orangina,is a,orange soda
smog in city,is a,increase health hazard
college student,is a,student attend college
soup,is a,light meal
time,is a,precious thing
win prize,is a,wonderful sensation
coffee,is a,addictive substance
cup,is a,vessel
ebola,is a,lethal virus
sugar,is a,main ingredient in candy
baseball,is a,american tradition
cd,is a,round flat disk
vampire,is a,fictional creature that drink blood
shushi,is a,japanese type of food
save money,is a,good idea
accord,is a,honda
mule,is a,cross between horse and donkey
bench,is a,long seat with no backrest
sightsee,is a,popular vacation activity
sidewalk,is a,concrete path
stool,is a,3-legged chair
society,is a,large group of person
petunia,is a,annual plant
ornamental kale,is a,annual plant
blue tip juniper,is a,plant
marigold,is a,annual plant
kallay juniper,is a,plant
calgary carpet juniper,is a,plant
blue star juniper,is a,plant
pansy,is a,annual plant
canadian hemlock,is a,plant
emarld beauty arborvitae,is a,plant
primrose,is a,annual plant
little gem arborvitae,is a,plant
geranium,is a,annual plant
densiformis gem yew,is a,plant
dark green spreader yew,is a,plant
gold thread falsecypress,is a,plant
hetz midget arborvitae,is a,plant
livingroom,is a,place to relax
shed,is a,place to store lawn equipment
shop mall,is a,depress place
unite state,is a,free country
lie,is a,false statement
elizabeth,is a,woman name
cash,is a,another name for paper money
brass,is a,heavy alloy
knight,is a,armor soldier
build,is a,artificial structure
1984,is a,very good book
bassoon,is a,double reed woodwind
walk,is a,aerobic activity
bat,is a,small rodent mammal
navy blue,is a,color
canada,is a,political division of earth
astimagtism,is a,common visual problem
pottery,is a,common type of artifact
tower,is a,tall structure with stair
golf,is a,healthy pastime
american football,is a,different sport from football elsewhere
coffee,is a,acquire taste
famliy room,is a,room in house
armenia,is a,very small country in eurasia
pocket watch,is a,watch
bicycle,is a,efficient form of human transportation
nudity,is a,natural state
bicycle,is a,good form of exercise
wood,is a,renewable resource
human,is a,synonym for person
cemetery,is a,sad place
ruby,is a,pure object-oriented program language
chocolate,is a,favorite food of some person
star trek,is a,pretend story
ice cream,is a,freeze dairy treat
ice cream,is a,good dessert item
cappucino,is a,italian invention
exam table,is a,table where person be examed
hell,is a,bad place
human be,is a,another name for person
badminton,is a,game
coil,is a,shape
murder,is a,calculate move
art,is a,way of express human emotion
screw,is a,another word for sex
sphere,is a,three-dimensional geometric shape
dog,is a,curious observer of mankind
plaid,is a,patern of line and square
garlic,is a,herb often
index card,is a,small piece of lightweight card
union,is a,collective bargain unit
cheesecake,is a,cake
queen elizabeth second,is a,monarch
jump at chance,is a,idiom
champage,is a,light sparkle wine
baby oil,is a,good lubricant for masturbation
machine,is a,complex tool
straight flush,is a,pretty good hand
new york,is a,large citiy
life,is a,continue cycle
nicotine,is a,stimulant
vinyl,is a,synthetic fiber
pottery,is a,very ancient technology
geen,is a,primary colour
car crash,is a,sudden deceleration
drive car,is a,dangerous activity
climb mountain,is a,dangerous activity
pi,is a,mathematical concept
pair of pant,is a,single garment
argon,is a,inert gas
jack,is a,nickname for john
meditation,is a,emotional healer
space,is a,dangerous place
write,is a,series of mark on paper
sing song,is a,great way to relieve stress
pipe,is a,smoke device often
go to doctor,is a,smart thing to do
garden hose,is a,long tube
general,is a,high rank
fingerpainting,is a,very messy activity
meditation,is a,state of reflection and contemplation
yeast,is a,ingredient in bread
safety pin,is a,fastener
drug use,is a,problem
porter,is a,very dark beer
lager,is a,light beer
yeast,is a,single-celled plant
rome,is a,city in italy
mountain dew,is a,soft drink
line,is a,imaginary connection between two point
person who,desires,ride horse be equestrian
terror,is a,strong emotion
meet friend,is a,positive experience
marathon,is a,great distance
addition,is a,basic math skill
marshall mathers,is a,famous rapper
place to store valuable object,is a,safe
live room,is a,space in house
eat meal together,is a,social activity
smell,is a,important sense
sing,is a,good way to express yourself
lego,is a,good toy for child
honey,is a,thick liquid
garden,is a,place with plant
boat,is a,sport as be ski
boy,is a,young person
spinach,is a,food edible by human
coffee,is a,bushy plant
petroleum,is a,combustible fluid
ball,is a,slang term for teste
computer chip,is a,integrate circuit
pit,is a,deep hole
greek,is a,human language
parabola,is a,conic section
snore,has subevent,annoy your spouse
go fish,is a,card game
row,is a,great source of exercise
swiss army knife,is a,useful tool
ai,is a,artificial intelligence
communism,is a,government
cleanliness,is a,good thing
ball,is a,another name for sphere
male genitalia,is a,penis
cappucino,is a,coffee drink with froth milk
ice,is a,near frictionless surface
ancient jewelry,is a,artifact
rembrant,is a,famous painter
freedom,is a,abstract concept
director,is a,person who direct movie
tv,is a,way to relax
monopoly,is a,classic boardgame
super mario brother,is a,game for nintendo
shake hand,is a,form of greet among human
bicycle,is a,aerobic sport
car,is a,another word for automobile
rape,is a,crime against person
army,is a,military force
landfill,is a,place for trash
terrorism,is a,dishã¸norable horrofic situation
pour milk into glass,is a,activity before drink
puberty,is a,challenge time for teenager
idea,is a,central mean purpose or concept
sadness,is a,emotional and physical pain
dragon,is a,mythological creature
fact,is a,actuality real
have daughter,is a,wonderful experience
revelation,is a,new idea
grade,is a,mark indicate rank
organ,is a,another kind of keyboard
laughter,is a,very special homosapien trait
orgasm between two lover,is a,wonderful feel
tv,is a,acronym for television
mailbox,is a,container for letter
deli restaurant,is a,place to get food quickly
refrigerator,is a,electronic appliance
stream,is a,small body of flow water
spit,is a,dirty habit
fall in love,is a,wonderful feel
blade runner,is a,famous science fiction movie
berlin,is a,city in germany
food store,is a,place to buy food
fortune,is a,prediction about future
overcrowd,is a,problem in today city
china,is a,enormous economy
hack,is a,cybercrime activity
puberty,is a,gradual process of sexual development
fatigue,is a,deadly problem on australian road
person smuggle,is a,major international issue
data input accuracy,is a,problem for any computer system
anarchism,is a,visceral revolt
microsoft,is a,register trademark of microsoft corporation
pi,is a,mathematical constant
sodium,is a,alkaline metal
ocd,is a,life-long psychological anxiety disorder
iodine,is a,bluish-black lustrous solid
radio,is a,audible media
temple,is a,place where you can worship
broadcast studio,is a,room in
plastic,is a,man-made product
harry potter,is a,character in novel
white wine,is a,wine
retriever,is a,dog
alto,is a,singer
ostrich,is a,flightless bird
squirrel,is a,rodent
kite,is a,toy
save account,is a,bank account
gopher,is a,rodent
aerobics,is a,exercise
canoe,is a,boat
pistol,is a,handgun
celebrity,is a,famous person
liver,is a,internal organ
frisbee,is a,toy
tractor,is a,agricultural vehicle
accordion,is a,musical instrument
king,is a,monarch
postcard,is a,card
terrier,is a,dog
basketball,is a,ball
red wine,is a,wine
rhea,is a,flightless bird
cow,is a,herd animal
cow,is a,ruminant
cobra,is a,venomous snake
floppy disk,is a,magnetic storage device
pear,is a,edible fruit
arm,is a,limb
honda,is a,brand of car
penguin,is a,flightless bird
soprano,is a,singer
timothy dalton,is a,actor
roger moore,is a,actor
brad pitt,is a,actor
mumps,is a,illness
wrench,is a,tool
reptile,is a,animal
lead pencil,is a,pencil
mouse,is a,input device
banknote,is a,money
cherry,is a,fruit
cactus,is a,plant
pedestrian,at location,in street
bread crumb,at location,in breadbox
something,at location,on my desk
carrot,at location,at grocery store
number,used for,describe amount of object
number,is a,digit of value available form of decimal number be 0 1 2 3 4 5 6 7 8 and 9
number,used for,calculation
fire alarm,at location,in build
carrot,is a,long thin and orage
number,defined as,fourth book in old testament
barbecue,is a,meal that be cook outdoors
platform,at location,at train station
mushroom,defined as,fleshy part of edible fungus
rubber chicken,is a,prop in many comedy routine
usher,at location,at wed
microwave,at location,at apartment
shamrock,has property,green
someone,at location,in africa
i,at location,home
wall,at location,in build
someone,at location,in italy
poodle,is a,small breed of dog
brownsville,part of,texas
potato peel,at location,in trash
picture,is a,representation of someone or something
emotion,is a,way of think
fuel tank,at location,in bus
person,not desires,their friend to die
present your card to cashier,motivated by goal,pay by credit card
get in water,motivated by goal,swim
pilot,at location,in space shuttle
decompose body,at location,in grave
google,defined as,most popular search engine
pass course,motivated by goal,study material
coffee shop,at location,at corner of two street
lamp-post,at location,in street
not be blind,motivated by goal,look through telescope
drunk student,at location,at university
pay attention,motivated by goal,listen
big,defined as,opposite of small
most table,made of,wood
security guard,at location,at mall
staple,at location,in office
have something for program to do,motivated by goal,write program
act in play,motivated by goal,it be fun activity
puzzle,used for,pass time
eat cookie,causes,digestion
pizzeria,is a,restarant that serve pizza
get good grade,causes,you to be happy
queen bee,is a,bee
discover truth be to know what,causes,false
helmet,is a,hat that protect your head
buy some alcohol,motivated by goal,hit bottle
shoot yourself,motivated by goal,die
direction sign,at location,at fork in road
bike,at location,in garage
get away with crime,motivated by goal,be smart
man hole,at location,in street
cake,at location,in oven
oscilloscope,at location,at repair shop
firetruck,at location,at airport
call orchestra hall box office and purchase your ticket,motivated by goal,attend classical concert
save,made of,salary
candle,at location,in church
go for swim,has prequisite,take of your clothe
lint,at location,in pocket
play soccer,has prequisite,get soccer ball
get soccer ball,motivated by goal,play soccer
soccer ball,at location,at soccer game
person,not desires,be stress
cubicle,used for,cheap office space
netscape communicator,is a,web browser
shampoo,used for,clean hair
shampoo,used for,clean your hair
find enemy,motivated by goal,wage war
grass,at location,on lawn
rain forest,is a,wet tropical environment teem with plant and animal
person,not desires,failure
alcoholic,is a,person unable to stop habit of drink too much alcoholic beverage
sweater,at location,in drawer
eat healthy,motivated by goal,live
dresser,at location,in bedroom
innovation,has property,more common than be believe by many
confusion,at location,in your mind be
go to get haircut,has prequisite,make appointment
capital,at location,in country
penny,at location,in jar
go for haircut,used for,wed
palermo,part of,italy
get some flour,motivated by goal,make bread
butter,made of,churn milk
someone,at location,in van
butter,has property,delicious
have heart attack,has first subevent,feel pain in your arm or chest
consume beverage,motivated by goal,drink
household supply,at location,at supermarket
solar system,part of,milky way
grow vegetable,motivated by goal,want to fee your family
put on sweater,motivated by goal,be cold
cabbage,at location,at market
person,not desires,microsoft
something,at location,on table top
push brake,motivated by goal,stop your car
beverage,at location,at bar
go to work,motivated by goal,desire money
circle,is a,round
your finger,part of,your hand
stockholm,part of,sweden
pi,defined as,ratio of circle circumference to it diameter
pi,has property,truly ubiquitous
someone,at location,in bed
pi,defined as,symbol of ratio of circumference of circle to it diameter
understand something good,motivated by goal,read about it
know what you be do,motivated by goal,program computer
make patchwork quilt,motivated by goal,like quilt
shoe,at location,in closet
backyard,defined as,area behind house
bone,is a,part of skeleton
rhinoceros,is a,huge animal that have one or two horn-like spike on it head
junk-food,at location,at fast-food restaurant
death,has property,terrible
pitcher mound,part of,baseball field
your neighbour,at location,next door
animal,at location,at zoo
sign your name,motivated by goal,sign contract
banana,is a,yellow fruit
pencil,used for,write with
pencil,used for,write thing
pen which,used for,write
c,defined as,name of program language
someone,at location,room
game,is a,fun
bed,at location,in house
food,at location,at restaurant
food,at location,in restaurant
someone,at location,in federal prision
jam,at location,in jar
sadness,at location,at funeral
bad smell,has property,not enjoyable
baseball,used for,throw
lip,is a,part of mouth
mountain,at location,on surface of earth
stair,at location,in build
bumper,part of,transportation vehicle
person,not desires,lose their love one
haystack,is a,big pile of hay
wheat,at location,in field
tenor,used for,perform music
produce,at location,at grocery store
period,is a,punctuation mark
open gift,motivated by goal,be curious
something,at location,on cliff
hair roller,used for,put curl into hair
stab to death,motivated by goal,i feel i have no choice but to protect myself with lethal force
make food,motivated by goal,eat
soul,is a,think part with no physical constituent
play tennis,used for,sport
bar service,used for,get something to drink
skirt,is a,form of clothe that wrap around your waist and leg
buy hamburger,has prequisite,choose hamburger you want
something,at location,in mail box
breathe some fresh air,motivated by goal,need it to live
be in charge of project,motivated by goal,have senority
garbage,at location,on grind
oldie,is a,music that some person listen to
freshly bake pie,at location,on windowsill
someone,at location,up there
get enough money,motivated by goal,open business
build tower out of toy block,motivated by goal,it be fun
buy bike and pedal,motivated by goal,ride bike
flower,has property,organic
bird,at location,on branch of tree
worship jesus,motivated by goal,be christain
porter,at location,at at hotel
mathematics,defined as,study of number shape pattern and logical reason
some person,capable of,believe in god
have haircut,motivated by goal,your hair be long
have haircut,motivated by goal,your hair be too long
join military,motivated by goal,fight war
wear hat,motivated by goal,avoid sunstroke
change your appearance,motivated by goal,hate way you look
grass,at location,in field
city,part of,few tree than forrest
hammer,at location,at repair shop
drink,at location,at bar
bar service,used for,get drink
architecture,defined as,art and science of design and erect build
communicate,motivated by goal,need to
adjustable chair,has property,more comfortable
find someone to play with,motivated by goal,play ball
get good grade,motivated by goal,study
money,at location,at bank
test tube,at location,in chemistry lab
beer,at location,at sport event
someone,capable of,dance
tape television show,motivated by goal,like television show
statement stapler be piece of office equipment which be use to staple two or more page together help answer question,is a,stapler
track,is a,define path between two point
epistemology,part of,philosophy
compulsion,is a,obvious response of ocd sufferer to their fear
ice,at location,in freezer
personality disorder,is a,condition not directly attributable to gross brain damage or disease
technology,has property,great
sydney,part of,australia
flour,at location,in pantry
pencil,at location,at work
garden,used for,grow plant
mom,at location,at home
racket,used for,play tennis
plum,part of,smooth skin
brag,used for,make yourself feel good
architect,capable of,design house
gasoline,used for,fuel fire
hobo,desires,pie
boot,capable of,give your foot cancer
car,has property,red
duck,has property,alive
color,defined as,same word as colour
pluto,defined as,small know planet
sky,is a,wonderful mystery
jack nicklaus,defined as,great golfer who ever live
queen,defined as,ruler of england
time,has property,constant
knife,used for,kill cat
guitar,defined as,most popular insturment
that man,defined as,girl father
boot,made of,leather because it sturdy
nut and screw,used for,hold stuff
war,is a,faught
safty pin,used for,close diaper
wash machine,is a,modersn convenience
metal,has property,cold
baby,has property,ugly
these,used for,cook
time,defined as,movement of object in space
ranch,used for,clean animal
play piano,used for,personal gain
see something new,has first subevent,want to buy it
color grey,is a,combination of black and white
mug,used for,keep liquid
lip,used for,protect
egg,used for,throw
change society,has first subevent,know everyone
conquer your opponent,has prequisite,concentration
water plant,has prequisite,obtain water
clean house,has first subevent,make sure you have clean fluid
hear crowd go mad,motivated by goal,win
go to work,used for,fulfil your obligation to your family
train ticket,used for,souvenir of train journey
wed chapel,used for,take wed photo
print on printer,used for,produce picture to display
give gift,used for,receive gift in return
grow vegetable,used for,feed other person
toothpaste,used for,freshen your breath
wheat,used for,grow in field
give gift,used for,celebrate someone birthday
school,used for,listen to teacher
toy soldier,used for,paint to remble real thing
staircase,used for,keep fit by climb
write instrument,used for,chew
wrestle be winner,has last subevent,cheer
visit art gallery,has prequisite,read about exhibit artist
obstruct justice,motivated by goal,i would want to protect someone
stay in bed,used for,sleep
salad bowl,used for,serve single portion of salad
surface,used for,create edge
go off strike,used for,accept contract term
carpet,used for,cover conrete slab
lion,used for,symbol
party,used for,celebration of graduation
something,capable of,freeze icecream
party,used for,celebrate your friend birthday
take examination,used for,prequalifying for insurance
lion,used for,zoo to have on display
moon,used for,create earth tide
take bath,used for,relax after busy day
hear crowd go mad,used for,be at concert
something,capable of,scan blood for toxin
have shower,used for,prepare to shave your face
salt,used for,sterilize wound
doormat,used for,wipe your snowwy boot on
play,used for,give child something to do
doorway,used for,provide egress
jump at chance,used for,take risk
have lunch,used for,enjoy some time alone
have lunch,used for,spend some time with friend
doorway,used for,indicate exit
have rest,used for,enjoy some down time
athame,is a,wiccan ritual knife
see your favorite show,used for,keep schedule
soprano,is a,woman
trunk,used for,store clean product
take exam,used for,by pass level
something,capable of,bury cable
basketball,part of,game
razor,used for,surgery
drink alcohol,used for,have party
go for drive,motivated by goal,go somewhere else in your car
person,desires,magick
fruit,is a,healthhy
pen,used for,sign your name
something,capable of,trip
go,defined as,action of attend movie
toy ball,used for,chase
go to sport event,used for,hotdog
go for drive,used for,enjoy day
oxygen,part of,atomosphere
go to sport event,used for,play game
go to sport event,used for,dress in insane manner
learn something new,has first subevent,never think about it again
general store,used for,make loss
receive degree,motivated by goal,it help you gain money
person,is a,hypocrite
join army,used for,get pay
creativity,defined as,high function of man
get contract,has prequisite,read it
study for subject,motivated by goal,i would be ashamed to fail
horn of plenty,is a,thanksgiving decoration
counter,used for,wipe
world,is a,very harsh environment
person,desires,flex time
president clinton,has property,very popular
something,capable of,start fire
person,desires,cold beer
something,at location,lie in pool of blood
eat breakfast in bed,used for,sick person
baseball stadium,used for,football
horn,used for,warn
computer,has property,hard to use than be necessary
know how stock market perform,has prequisite,know very many thing
fly kite,used for,feel wind pull hard
use computer,used for,diagram
buy something,used for,recreation
teacher,capable of,name every state
club,used for,secret activity
hand,used for,touch thing
chapel,used for,go to pray
spiral bind,used for,give cat nice toy
text,used for,stufying
strike match,used for,burn your finger
moisturizer,used for,moisten dry air
five and dime,used for,meet old shop-owner
clean your clothe,used for,respect society norm
typewriter,used for,put it in museum
drill hole,used for,close it again late
central passage,used for,go through
row house,used for,quit neighborhood
churchyard,used for,wait on sunday morning before mass
lobby,used for,achieve aim
girl,used for,buy her flower
examine thing,has prequisite,get hold of it
comfort friend,used for,be good friend
jump rope,used for,because it be in way
acquire stuff,causes desire,shop
person,not desires,live forever
scenery,used for,make long journey go quickly
talk with someone far away,used for,say i love you
wake up in morning,used for,bad person
watch television,causes,absorbtion in program
watch film,causes,enjoyment
person,not desires,be deceive
feed your family,used for,quiet them down
delicatessen,used for,sell prepare meat
drive,used for,play cd
listen,used for,hear
spit,used for,remove chew tobacco
talk,used for,get to know somebody
have lunch,used for,try new food
spit,used for,remove rotten food
sidewalk,used for,surf
feed your family,used for,fulfil your obligation
read newspaper,used for,learn what normal person interest in
go to restaurant,has first subevent,decide what to eat
buy something,has prequisite,look at it price
master bedroom,used for,relax
person,desires,love and security
grocery shop,has subevent,lick finger
learn about science,motivated by goal,science make sense of world
play,used for,squirrel
watch musician perform,has first subevent,sit down and listen
sit quietly,has prequisite,get it out of your system
air terminal,used for,wait to get on plane
architecture,defined as,desing of space for purpose
entertain someone,has prequisite,cook meal
chat with friend,has prequisite,meet your friend
hear music,used for,entertainment
have nervous breakdown,used for,relieve stress
heat source,used for,car
neighborhood map,used for,visualize where you be
exercise,used for,get exhilerated
spider,capable of,wrap insect in silk
watch television show,has prequisite,sit on couch
ride horse,used for,go on trail ride
song,used for,parody
theatre-goer,not desires,cough during performance
nurse,not desires,suicide case
chalkboard,is a,slate
play baseball,has prequisite,find team to play on
play soccer,used for,win game
person,not desires,be threaten
have heart attack,used for,go to hospital
trumbone,is a,instrument
build cathedral,motivated by goal,somewhere to worship
censer,is a,fireproof incense burner
tennis game,used for,win tennis match
read to your child,motivated by goal,them to learn quickly
artistic talent,causes desire,paint picture
person,desires,live in luxury
person,not desires,be freeze
taste something sweet,motivated by goal,chocolate
person,desires,companion
person,desires,be care for
dream,used for,rem sleep
mail letter,has first subevent,seal envelope
join army,used for,fight national battle
strike match,used for,light something on fire
phillies,is a,professional baseball team
gun,is a,excellent source of fatal accident
artist,capable of,paint on canvas
gather energy for tomorrow,motivated by goal,use more tomorrow
tree,not desires,be cut down
buy fresh fruit and vegetable,used for,juice
copulate,used for,reproductiong
paint,has last subevent,let it dry
have physical exam,motivated by goal,diagnosis
smile,part of,service
liquid,has property,clear
fall,causes,be hurt
good intention,causes desire,buy present for others
wait your turn,has prequisite,know what you be wait for
person,not desires,manure
television,is a,piece of furniture
control room,used for,check up on person
something,at location,empty space
person,not desires,hear loud noise
person,not desires,wet hair
sleep at night,used for,keep up energy
take break,motivated by goal,it refresh and give new strenght
bishop,is a,leader of church
gas,used for,fart
mother,used for,security
lie,defined as,opposite of truth
interest,causes desire,attend meet
church,used for,center for christian
desk tray,used for,ehgdfh
person,used for,argue with
eat,used for,enjoy taste
bake cake,used for,joy of bake
dance,used for,meet available woman
lamp,used for,generate light
person,desires,wash your face
understand something good,motivated by goal,know how it work
soap,used for,make your grandmother happy
write,has first subevent,put pen down
wash your clothe,has prequisite,buy dishwasher
drive,causes,get place
dive,used for,compete in olympics
light fire,used for,sterilize
eat healthily,used for,smart brain
map,used for,weak
get wet,has prequisite,get dry
contemplate,has first subevent,relax
move car,used for,travel
something,capable of,lie
psychiatrist,used for,depression
collier,used for,coal dust
australian public servant,used for,public service hour
general practicioner,used for,prescription
something,capable of,bake cake
do housework,motivated by goal,i enjoy tidy house
hang out at bar,causes,meet new person
fight war,causes,death and destruction
have lunch,motivated by goal,i hungry
drink alcohol,motivated by goal,it relax me
serve justice,motivated by goal,respect
bicycle,is a,tool for explore
star trek,is a,series of bad movie
blackboard,is a,temporary storage device
bin,is a,convenient place to put rubbish
story,is a,clever inventory of observation
chair,at location,dine room
fox,at location,foxhole
saxophone,at location,jazz band
beer mug,at location,bar
revolver,at location,holster
desk,at location,room
niece,at location,family
stapler,at location,office
ice,at location,freezer
surprise,at location,dumpster
solace,at location,tranquilize drug
stall,at location,street market
ferret,at location,classroom
pistol,at location,pant
indian restaurant,at location,food
handgun,at location,man hand
kitten,at location,soft box
glass front display cabinet,at location,den
master bedroom,at location,dwell
silicone,at location,silicone base caulk
salad shaker,at location,hand
court,at location,public build
shark,at location,australia
snot,at location,nose
water,at location,white water rapid
water,at location,water balloon
kitten,at location,mother cat view
chess set,at location,live room
highway,at location,disrepair
gong,at location,orchestra
bald eagle,at location,retire eagle home
drop of blood,at location,potato peel
bureau,at location,office build
utility case,at location,utility truck
cat,at location,basket
sloth,at location,mailbox
fox,at location,prairie
sloth,at location,a
clavichord,at location,parlor
rubber,at location,tire
bomb,at location,aircraft
grape,at location,grape vine
barbecue,at location,retail store
checkbook cover,at location,checkbook
lizard,at location,dark place
mirror,at location,reflection
fox,at location,earth
trampoline,at location,gymnasium
state highway,at location,any state
hot tap,at location,flat
human in any square inch,at location,earth
string bass,at location,string quartet
automaton,at location,classroom
cinderella,desires,fine dress
cinderella,desires,her fairy god mother
cinderella,desires,prince charm
wrap paper,at location,gift
language,receives action,teach
librarian,desires,help person
see,has first subevent,open your eye
up,defined as,direction opposite pull of gravity
sex,is a,leisure activity
cider,used for,drink
butterfly net,used for,catch insect
edinburgh,used for,tourism
edinburgh,has property,place
edinburgh,receives action,visit
visit edinburgh,has prequisite,go to scotland
visit edinburgh,has subevent,see castle
edinburgh,used for,live in
edinburgh,has property,city
edinburgh,receives action,live in
pub,at location,edinburgh
teach,has prequisite,prior education
all life form,desires,survive
mouthwash,is a,personal hygeine product
pet,receives action,feed
prostitute,receives action,screw
eyeshadow,is a,makeup
eyeliner,is a,makeup
spiderman,is a,superhero
superman,is a,superhero
fireman,is a,person
murder,is a,homicide
manslaughter,is a,homicide
condom,at location,supermarket
alien,at location,roswell
muslim,at location,mosque
prostitute,at location,crack house
slut,is a,person
lesbian,has property,female
gay men,has property,male
christianity,defined as,religion found by jesus
satan,created by,god
petrol,at location,petrol station
petrol,at location,fuel tank
petrol,at location,car
businessman,desires,run business
mind,made of,subjective thought
piston,part of,engine
rocket vehicle,capable of,operate in vacuum
chair,is a,seat
edible fruit,is a,fruit
cellular phone,is a,phone
duct tape,is a,adhesive tape
clock,is a,mechanical device
grocery store,is a,store
wiki,is a,website
program,receives action,debug
deaf person,is a,person
software,receives action,debug
program,has subevent,debug
sugar,part of,candy
lynx,has property,wild animal
lens,part of,eyeglass
train,motivated by goal,get good
tuner,part of,tv
tv,is a,multimedia device
tv,made of,glass
tv,made of,plastic
hacker,is a,programmer
developer,is a,programmer
game,created by,programmer
grass,receives action,walk on
electric vehicle,is a,vehicle
radio-controlled helicopter,is a,aircraft
machine,has property,hard
radio-controlled airplane,is a,aircraft
shape,is a,geometric figure
lawn,receives action,walk on
80386,is a,cpu
tiger,capable of,eat
papaya,is a,fruit
lawnmower,capable of,mow lawn
bicycle,is a,toy
husky,at location,connecticut
electricity,desires,grind
child,created by,parent
person,capable of,sense their environment
eye contact,causes desire,talk to woman
audience,at location,arena
canoe,is a,vehicle
soldier,at location,harm way
plant,capable of,sense their environment
animal,is a,life
congress,part of,legislature
tree,at location,orchard
person,at location,audience
wart,at location,frog
executive,used for,enforce law
flag,at location,flagpole
audience,at location,studio
talk to woman,motivated by goal,find mate
live thing,capable of,procreate
person,is a,life
judiciary,used for,interpret law
legislature,used for,make law
live thing,capable of,move
live thing,capable of,sense their environment
passenger,at location,vehicle
seahorse,at location,ocean
buddhist,at location,temple
breast,at location,woman
brick,is a,construction material
epilepsy,is a,neurological disease
rhetoric,is a,communication
cardinal,is a,bishop
mare,is a,female animal
archbishop,is a,bishop
sand dune,is a,hill
bull,is a,male animal
stallion,is a,male animal
flea,is a,parasite
train,capable of,decelerate
uppercut,is a,punch
depress person,at location,pschiatric hospital
manic depression,is a,mental illness
floss,motivated by goal,avoid bad breath
floss,has subevent,bleed gum
floss,has property,wind up in dispenser
olive oil,is a,oil
butter,has property,pale yellow
butter,has property,soft
butter,at location,toast
butter,at location,store
butter,used for,bake
butter,receives action,spread
manure,used for,fertilise crop
peony,is a,flower
shoot gun,has prequisite,cock
bull,at location,farm
some boy,has property,uncle
uncle,part of,family
fist,receives action,close
sock,at location,foot
flea,capable of,lie egg
flea,has property,small than mouse
toilet brush,has property,disgust
rot food,has property,disgust
charge battery,motivated by goal,store electrical energy
dish,receives action,wash
massage,is a,therapy
bribe,receives action,accept
bike,used for,transport
vinegar,used for,clean
california,part of,u.s
triangle,defined as,polygon with three corner or vertex and three side or edge which be line segment
finite whole,receives action,great than any of it part
problem solve,has prequisite,think
problem solve,has subevent,create axiom
information,is a,abstraction
set,made of,member
{a},is a,set contain one element
{},is a,set contain zero element
one,receives action,one plus zero
zero plus one,receives action,one
ecology,is a,science
stone,has property,solid
chest,part of,person
leave leg,is a,leg
pizza parlor,at location,city
right leg,is a,leg
right leg,part of,person
pizza parlor,used for,get pizza
leave leg,part of,person
maid,is a,servant
butler,is a,person
butler,is a,servant
